Summary,Series
"While searching for a missing Maquis ship with a Starfleet spy aboard, USS Voyager is swept away to the Delta Quadrant, more than 70,000 light-years from home, by an incredibly powerful being known as the ""Caretaker."" Originally shown as a two-hour pilot movie on the UPN network, but in syndication is shown as two separate episodes.",VOY
"Voyager is trapped in a quantum singularity's event horizon, and Captain Janeway must decide between Lt. Carey and former Maquis B'Elanna Torres to be the new chief engineer.",VOY
"Investigating a planet just devastated by a polaric explosion, Janeway and Paris are engulfed by a subspace fracture and transported in time to before the accident.",VOY
"An organ-harvesting species known as the Vidiians steal Neelix's lungs, leaving him to die.",VOY
"The crew enter a nebula to collect samples before realizing it is a living organism, but not before injuring it.",VOY
"A micro-wormhole is discovered that leads to the Alpha Quadrant, and the crew make contact with a Romulan ship on the other side.",VOY
"Tom Paris is convicted of murder on an alien world, and his punishment is to witness the murder from the victim's perspective every 14 hours.",VOY
Harry Kim is transported to an alien world at the same time as a dead woman's body arrives on Voyager.,VOY
A species that could shorten Voyager's journey with a transportation device will not share its technology.,VOY
Janeway and the other senior officers attempt to flush out a spy who is sending information to the Kazon.,VOY
The holographic doctor must rescue crew members who were turned to light energy in a Holodeck simulation of Beowulf.,VOY
"A shuttlecraft with Chakotay and Tuvok aboard is attacked; Chakotay is left brain-dead, while Tuvok begins acting strangely. An unknown force begins controlling crew members.",VOY
B'Elanna Torres is split into her human and Klingon halves by the Vidiians.,VOY
"A member of the Haakonians, a race warring with the Talaxians, arrives on Voyager, much to the dismay of Neelix, whose family was killed by a weapon of mass destruction this particular individual devised.",VOY
Tuvok trains several Maquis members who have not fully integrated into the Voyager crew.,VOY
"A group of humans from the 1930s are found in stasis on a seemingly abandoned planet, including the lost Amelia Earhart.",VOY
Chakotay encounters a Kazon youth who is on an initiation rite: to earn his name by killing an enemy or be killed in the attempt.,VOY
"The Doctor becomes delusional after an accident, causing him to believe that he is a flesh-and-blood person and his time on USS Voyager is a holodeck program. This episode also features Reginald Barclay.",VOY
"Space-dwelling life-forms cause Kes to enter the Ocampan fertile phase called Elogium, putting pressure on her relationship with Neelix when she wants to have his child.",VOY
Harry Kim wakes up in 24th century San Francisco with no record of him on Voyager.,VOY
A region of space distorts the interior of Voyager.,VOY
"Neelix and Tom Paris fight over Kes, but are sent on an away mission together.",VOY
The crew experiences hallucinations brought on by an alien that put them into a trance-like state.,VOY
Chakotay encounters non-humans who have the same tattoo on their foreheads that he has.,VOY
An Ocampan helps Kes with her mental abilities as the crew encounter a being who appears to be the Caretaker's female counterpart.,VOY
Kazon Nistrim board Voyager and steal a transporter module in an attempt to unite the Kazon sects.,VOY
A mission to acquire Telerium goes wrong causing Tuvok and B'Elanna to be captured and believed to be with the resistance.,VOY
The crew finds and reactivates a robot's body which was adrift in space only to find themselves in the middle of a war when B'Elanna is abducted.,VOY
Janeway attempts to form an alliance with the Kazon to improve Voyager's standing in the Delta Quadrant.,VOY
"Tom Paris breaks the transwarp barrier in the Shuttlecraft Cochrane, designed to reach warp 10, but he begins to evolve.",VOY
"Crewman Lon Suder murders an Engineering crewman for no apparent reason. Tuvok mind melds with him to ascertain his motive, but it causes him to become aggressive.",VOY
"A highly advanced Cardassian AI missile that had been reprogrammed by B'Elanna Torres is found in the Delta Quadrant, and its damaged programming could destroy Voyager and a planet.",VOY
The crew encounter a member of the Q Continuum seeking to end his immortal life.,VOY
Neelix tries to flush out the traitor on board who has been colluding with the Kazon Nistrim.,VOY
"Attempting to evade the Vidiians, a duplicate Voyager is created after it passes through a spatial scission.",VOY
Tuvok crash-lands on a moon and finds children who have been abandoned.,VOY
The crew finds aliens mentally connected to a computer that has created a being that feeds on their fear.,VOY
A transporter accident merges Tuvok and Neelix into a new person.,VOY
"Janeway and Chakotay must adapt to life quarantined on a planet after they contract an incurable disease. Meanwhile, the Voyager crew risk their lives to seek out a possible cure from the Vidiians.",VOY
Seska and the Kazon-Nistrim take control of Voyager and maroon its crew on a primitive planet.,VOY
Voyager loses power traversing a dark region of space containing theta radiation.,VOY
"The Doctor's mobile emitter is damaged while beaming back from an away mission, merging with Seven of Nine's Borg nanoprobes and the DNA of a male Ensign to create a 29th century Borg.",VOY
"B'Elanna purposely puts herself into increasingly dangerous situations. Meanwhile, the crew decides to build a new shuttlecraft, the Delta Flyer.",VOY
The ship encounters a training facility for an alien invasion of Earth.,VOY
Neelix looks after Naomi Wildman when her mother is injured on an away mission.,VOY
"Fifteen years in the future, Chakotay and Harry Kim attempt to prevent the Voyager from crash-landing on an ice planet.",VOY
"When Voyager brings aboard an advanced piece of Borg technology from a salvaged Borg cube, Seven of Nine begins to take on the personalities of the people assimilated by the cube.",VOY
A wounded alien is brought on board from a stranded vessel and attaches itself to B'Elanna Torres.,VOY
Tom Paris disregards orders by helping an aquatic world and is demoted to Ensign.,VOY
"While passing through Devore space, Voyager is routinely searched for telepaths.",VOY
The Doctor finds out that some of his memories have been blocked.,VOY
Paris' latest holodeck adventure The Adventures of Captain Proton takes an unexpected turn.,VOY
"Tuvok and Paris crash on a planet stuck in a pocket of subspace, where they meet a female named Noss.",VOY
A large organism telepathically deceives the Voyager crew into flying into its digestive chamber.,VOY
Janeway plans to steal a transwarp coil from a disabled Borg ship to shorten their journey home. Seven of Nine experiences memories of her past just before she and her parents are assimilated and plans to re-join the Borg collective. The Borg Queen tells Seven of Nine that she will leave her individuality intact so the Borg can study her memories and use her to help them assimilate humanity.,VOY
Kim finds love when the crew encounters a Varro generational ship that needs assistance repairing its warp drive.,VOY
"After Torres and Paris get married, subspace radiation causes the crew and their ship to disintegrate.",VOY
Chakotay lies in sickbay as he attempts to communicate with aliens through hallucinations.,VOY
Voyager is being chased by the Hazari when a think tank offers assistance.,VOY
The crew responds to a distress call from Malon escape pods contaminated with radiation.,VOY
Seven of Nine explores dating with some help from the Doctor.,VOY
"Janeway reminisces about one of her ancestors, Shannon O'Donnell from Indiana.",VOY
Captain Braxton recruits Seven of Nine to stop Voyager being sabotaged.,VOY
"The crew rescues a device with artificial intelligence embedded in rock, that then proceeds to take control of The Doctor and reveals itself to be a weapon of mass destruction.",VOY
"Voyager finds another Federation ship, the USS Equinox, under attack from flying nucleogenic lifeforms.",VOY
The crew of the USS Equinox attempts to elude the USS Voyager in order to exploit the nucleogenic lifeforms in a bid to return home.,VOY
"Three Borg from Seven's past appear, and ask to be completely separated from the Collective.",VOY
"B'Elanna's shuttle is hit by an ion storm and she awakens to find herself among Klingons in the Barge of the Dead, on the way to Klingon Hell.",VOY
"The Doctor adds daydreaming to his program, imagining himself as the Emergency Command Hologram (ECH) aboard Voyager; but aliens, tapping into his perceptions to observe the crew, prepare an attack when they believe that what they are seeing in the daydreams is real.",VOY
"Tom Paris becomes obsessed with a salvaged alien shuttlecraft, which appears to have a mind of its own.",VOY
"Returning from a diplomatic mission, Tuvok is attacked by a cloaked intruder and suffers neurological damage.",VOY
"Voyager discovers a network of subspace passageways, but is forced to land on a planet after being attacked.",VOY
Voyager is nearly hit by a mysterious subspace mass and the crew theorize that the debris of an ancient Earth–Mars ship is inside.,VOY
"After assimilating Voyager's data from the past six years, through an enhancement to her Borg implants, Seven of Nine suspects the ship did not arrive in the Delta Quadrant by accident.",VOY
Barclay gets over-involved with holographic recreations of the Voyager crew in his attempts to contact them. This episode also features Deanna Troi.,VOY
"The crew enjoys a respite inside a holodeck creation designed by Tom Paris, while Voyager faces the threat of an oncoming storm in space.",VOY
"Voyager is trapped in orbit about a planet with a spacetime differential such that, while its inhabitants live through years, Voyager experiences mere minutes.",VOY
"Visiting aliens who have never before encountered music become fascinated with the Doctor's Opera singing, and ask him to leave Voyager and join their society.",VOY
"Chakotay, Tom Paris, Harry Kim, and Neelix begin to experience horrific flashbacks after an away mission.",VOY
"Seven of Nine and Tuvok are kidnapped while on shore leave, and Seven is forced to fight in a gladiatorial contest to the death. (Guest stars Dwayne Johnson.)",VOY
"Chakotay, Kim, Paris, and Neelix are taken hostage when the Delta Flyer is captured by Borg children in a derelict Cube.",VOY
"Problems arise from running the holographic Irish village of Fair Haven non-stop, when a malfunction leads the holographic characters to become self-aware.",VOY
"A deceased crew member resurfaces, claiming to have been resurrected by an alien race who have since adopted her.",VOY
"The family of Icheb, one of the Borg children, is found, but he is reluctant to rejoin them. Seven, too, is reluctant for him to leave the ship; and his parents are concealing the real reason for desiring his return.",VOY
Three crew members who are under-performing are taken on a mission by Janeway.,VOY
"Torres is stranded on a bronze-age planet after a crash in the Delta Flyer, where she helps a playwright adapt the story of Voyager to the stage. Also, Kim is missing in an escape pod.",VOY
